id,n_sentences,input,answer
0,16,"India and Mexico signed a joint statement on trade. Brazil and Greece signed a joint statement on trade. Exports from Australia rose sharply while Spain reported a decline. Exports from Spain rose sharply while India reported a decline. After leaving China, the group spent three weeks in Italy. Exports from Peru rose sharply while Australia reported a decline. The delegation travelled from Mexico to Egypt before the summit. The documentary contrasted life in Argentina with that in Italy. The documentary contrasted life in Argentina with that in India. Chile and Greece signed a joint statement on trade. The delegation travelled from Egypt to Peru before the summit. The documentary contrasted life in Spain with that in Greece. The delegation travelled from France to Spain before the summit. Australia and Sweden signed a joint statement on trade. After leaving Japan, the group spent three weeks in Chile. The delegation travelled from Norway to Poland before the summit.","{""Argentina"": 2, ""Australia"": 3, ""Brazil"": 1, ""Chile"": 2, ""China"": 1, ""Egypt"": 2, ""France"": 1, ""Greece"": 3, ""India"": 3, ""Italy"": 2, ""Japan"": 1, ""Mexico"": 2, ""Norway"": 1, ""Peru"": 2, ""Poland"": 1, ""Spain"": 4, ""Sweden"": 1}"
1,16,"Researchers in Kenya collaborated with a team based in Mexico. Exports from Chile rose sharply while Canada reported a decline. The delegation travelled from Mexico to Kenya before the summit. The delegation travelled from Sweden to Australia before the summit. Argentina and Mexico signed a joint statement on trade. Greece and China signed a joint statement on trade. Researchers in Kenya collaborated with a team based in Germany. The delegation travelled from Sweden to Brazil before the summit. Brazil and Spain signed a joint statement on trade. The delegation travelled from Kenya to Spain before the summit. The delegation travelled from Italy to Brazil before the summit. China and Argentina signed a joint statement on trade. The delegation travelled from India to Chile before the summit. Sweden and Australia signed a joint statement on trade. After leaving Argentina, the group spent three weeks in Canada. Exports from India rose sharply while Norway reported a decline.","{""Argentina"": 3, ""Australia"": 2, ""Brazil"": 3, ""Canada"": 2, ""Chile"": 2, ""China"": 2, ""Germany"": 1, ""Greece"": 1, ""India"": 2, ""Italy"": 1, ""Kenya"": 4, ""Mexico"": 3, ""Norway"": 1, ""Spain"": 2, ""Sweden"": 3}"
2,16,Exports from France rose sharply while India reported a decline. Exports from Argentina rose sharply while Sweden reported a decline. Norway and Spain signed a joint statement on trade. Researchers in France collaborated with a team based in Greece. Norway and Germany signed a joint statement on trade. Researchers in Japan collaborated with a team based in Argentina. Researchers in Spain collaborated with a team based in Chile. Exports from Argentina rose sharply while Mexico reported a decline. Sweden and Canada signed a joint statement on trade. Exports from Kenya rose sharply while Japan reported a decline. The documentary contrasted life in India with that in Canada. Researchers in India collaborated with a team based in Australia. The delegation travelled from Norway to Italy before the summit. The documentary contrasted life in Argentina with that in Spain. Exports from Canada rose sharply while Australia reported a decline. Researchers in Egypt collaborated with a team based in Kenya.,"{""Argentina"": 4, ""Australia"": 2, ""Canada"": 3, ""Chile"": 1, ""Egypt"": 1, ""France"": 2, ""Germany"": 1, ""Greece"": 1, ""India"": 3, ""Italy"": 1, ""Japan"": 2, ""Kenya"": 2, ""Mexico"": 1, ""Norway"": 3, ""Spain"": 3, ""Sweden"": 2}"
3,16,"Mexico and Brazil signed a joint statement on trade. Exports from Norway rose sharply while Germany reported a decline. Exports from Peru rose sharply while China reported a decline. Researchers in Germany collaborated with a team based in Mexico. The documentary contrasted life in Italy with that in Spain. After leaving Canada, the group spent three weeks in Greece. The delegation travelled from Germany to Spain before the summit. Researchers in Japan collaborated with a team based in Canada. Exports from Egypt rose sharply while Chile reported a decline. Exports from Kenya rose sharply while Greece reported a decline. After leaving Sweden, the group spent three weeks in China. After leaving Italy, the group spent three weeks in Sweden. The documentary contrasted life in Japan with that in France. The documentary contrasted life in Australia with that in Kenya. Sweden and Chile signed a joint statement on trade. The documentary contrasted life in Spain with that in Japan.","{""Australia"": 1, ""Brazil"": 1, ""Canada"": 2, ""Chile"": 2, ""China"": 2, ""Egypt"": 1, ""France"": 1, ""Germany"": 3, ""Greece"": 2, ""Italy"": 2, ""Japan"": 3, ""Kenya"": 2, ""Mexico"": 2, ""Norway"": 1, ""Peru"": 1, ""Spain"": 3, ""Sweden"": 3}"
4,16,"After leaving Brazil, the group spent three weeks in Argentina. After leaving Egypt, the group spent three weeks in Spain. The delegation travelled from Australia to India before the summit. Researchers in Australia collaborated with a team based in Germany. After leaving Greece, the group spent three weeks in Italy. Researchers in Kenya collaborated with a team based in Germany. Researchers in Japan collaborated with a team based in Egypt. Researchers in Norway collaborated with a team based in Argentina. After leaving Italy, the group spent three weeks in India. After leaving Mexico, the group spent three weeks in Peru. Mexico and Sweden signed a joint statement on trade. Researchers in Greece collaborated with a team based in Poland. Canada and Brazil signed a joint statement on trade. Researchers in China collaborated with a team based in Brazil. Poland and Australia signed a joint statement on trade. After leaving Egypt, the group spent three weeks in Italy.","{""Argentina"": 2, ""Australia"": 3, ""Brazil"": 3, ""Canada"": 1, ""China"": 1, ""Egypt"": 3, ""Germany"": 2, ""Greece"": 2, ""India"": 2, ""Italy"": 3, ""Japan"": 1, ""Kenya"": 1, ""Mexico"": 2, ""Norway"": 1, ""Peru"": 1, ""Poland"": 2, ""Spain"": 1, ""Sweden"": 1}"
5,16,"Researchers in Chile collaborated with a team based in Sweden. India and Brazil signed a joint statement on trade. The documentary contrasted life in Greece with that in Brazil. Spain and Sweden signed a joint statement on trade. The documentary contrasted life in Italy with that in Brazil. Researchers in India collaborated with a team based in Kenya. The documentary contrasted life in Japan with that in Canada. The delegation travelled from Italy to Argentina before the summit. Greece and Italy signed a joint statement on trade. Exports from Chile rose sharply while Peru reported a decline. After leaving Greece, the group spent three weeks in China. Italy and Egypt signed a joint statement on trade. The documentary contrasted life in Kenya with that in Spain. India and Kenya signed a joint statement on trade. Poland and Peru signed a joint statement on trade. Canada and Argentina signed a joint statement on trade.","{""Argentina"": 2, ""Brazil"": 3, ""Canada"": 2, ""Chile"": 2, ""China"": 1, ""Egypt"": 1, ""Greece"": 3, ""India"": 3, ""Italy"": 4, ""Japan"": 1, ""Kenya"": 3, ""Peru"": 2, ""Poland"": 1, ""Spain"": 2, ""Sweden"": 2}"
6,16,"Exports from Australia rose sharply while Germany reported a decline. Researchers in Italy collaborated with a team based in Argentina. The delegation travelled from France to Argentina before the summit. Exports from Germany rose sharply while Japan reported a decline. Researchers in Norway collaborated with a team based in Canada. The documentary contrasted life in Norway with that in Greece. After leaving Sweden, the group spent three weeks in Canada. The delegation travelled from France to Brazil before the summit. Researchers in Argentina collaborated with a team based in Germany. After leaving Poland, the group spent three weeks in India. The documentary contrasted life in Egypt with that in Poland. The delegation travelled from China to Australia before the summit. Argentina and Italy signed a joint statement on trade. Exports from Italy rose sharply while China reported a decline. Mexico and Brazil signed a joint statement on trade. Exports from Italy rose sharply while India reported a decline.","{""Argentina"": 4, ""Australia"": 2, ""Brazil"": 2, ""Canada"": 2, ""China"": 2, ""Egypt"": 1, ""France"": 2, ""Germany"": 3, ""Greece"": 1, ""India"": 2, ""Italy"": 4, ""Japan"": 1, ""Mexico"": 1, ""Norway"": 2, ""Poland"": 2, ""Sweden"": 1}"
7,16,"Researchers in Italy collaborated with a team based in Poland. Researchers in Poland collaborated with a team based in Kenya. Kenya and Greece signed a joint statement on trade. The documentary contrasted life in Greece with that in Kenya. The delegation travelled from Kenya to India before the summit. After leaving Germany, the group spent three weeks in Egypt. Researchers in China collaborated with a team based in Argentina. Researchers in Greece collaborated with a team based in Germany. The delegation travelled from Argentina to Canada before the summit. Poland and Australia signed a joint statement on trade. Researchers in Mexico collaborated with a team based in Canada. The delegation travelled from Brazil to Peru before the summit. After leaving Spain, the group spent three weeks in Australia. After leaving France, the group spent three weeks in Mexico. The delegation travelled from India to Australia before the summit. The delegation travelled from Canada to Germany before the summit.","{""Argentina"": 2, ""Australia"": 3, ""Brazil"": 1, ""Canada"": 3, ""China"": 1, ""Egypt"": 1, ""France"": 1, ""Germany"": 3, ""Greece"": 3, ""India"": 2, ""Italy"": 1, ""Kenya"": 4, ""Mexico"": 2, ""Peru"": 1, ""Poland"": 3, ""Spain"": 1}"
8,16,"The documentary contrasted life in Brazil with that in Greece. Researchers in Egypt collaborated with a team based in Norway. The documentary contrasted life in Argentina with that in Peru. Exports from Peru rose sharply while Poland reported a decline. After leaving Norway, the group spent three weeks in Egypt. The delegation travelled from Spain to Brazil before the summit. The documentary contrasted life in Argentina with that in Brazil. The delegation travelled from Canada to India before the summit. The delegation travelled from Canada to Spain before the summit. Peru and Japan signed a joint statement on trade. After leaving Kenya, the group spent three weeks in Spain. The delegation travelled from Mexico to India before the summit. Researchers in Germany collaborated with a team based in Norway. The delegation travelled from China to Greece before the summit. The delegation travelled from Poland to China before the summit. Exports from Spain rose sharply while France reported a decline.","{""Argentina"": 2, ""Brazil"": 3, ""Canada"": 2, ""China"": 2, ""Egypt"": 2, ""France"": 1, ""Germany"": 1, ""Greece"": 2, ""India"": 2, ""Japan"": 1, ""Kenya"": 1, ""Mexico"": 1, ""Norway"": 3, ""Peru"": 3, ""Poland"": 2, ""Spain"": 4}"
9,16,"After leaving France, the group spent three weeks in Australia. Japan and Mexico signed a joint statement on trade. The delegation travelled from Chile to Canada before the summit. The documentary contrasted life in Kenya with that in Mexico. China and Australia signed a joint statement on trade. Researchers in Sweden collaborated with a team based in Mexico. Japan and Egypt signed a joint statement on trade. After leaving Chile, the group spent three weeks in Norway. The documentary contrasted life in Argentina with that in Norway. The delegation travelled from Italy to China before the summit. The delegation travelled from Germany to Canada before the summit. The documentary contrasted life in Norway with that in China. Argentina and Japan signed a joint statement on trade. Researchers in Germany collaborated with a team based in Chile. Researchers in Spain collaborated with a team based in India. The documentary contrasted life in Australia with that in Peru.","{""Argentina"": 2, ""Australia"": 3, ""Canada"": 2, ""Chile"": 3, ""China"": 3, ""Egypt"": 1, ""France"": 1, ""Germany"": 2, ""India"": 1, ""Italy"": 1, ""Japan"": 3, ""Kenya"": 1, ""Mexico"": 3, ""Norway"": 3, ""Peru"": 1, ""Spain"": 1, ""Sweden"": 1}"
10,16,"After leaving China, the group spent three weeks in Chile. The documentary contrasted life in Greece with that in Kenya. Exports from Norway rose sharply while Greece reported a decline. After leaving Canada, the group spent three weeks in France. The delegation travelled from Peru to Argentina before the summit. Researchers in Egypt collaborated with a team based in Sweden. The documentary contrasted life in Australia with that in Argentina. The delegation travelled from Peru to Japan before the summit. Researchers in Germany collaborated with a team based in Canada. Researchers in Norway collaborated with a team based in Mexico. Researchers in Peru collaborated with a team based in Italy. After leaving China, the group spent three weeks in Egypt. Researchers in Chile collaborated with a team based in France. Exports from Sweden rose sharply while Brazil reported a decline. Researchers in Germany collaborated with a team based in Brazil. After leaving Australia, the group spent three weeks in Mexico.","{""Argentina"": 2, ""Australia"": 2, ""Brazil"": 2, ""Canada"": 2, ""Chile"": 2, ""China"": 2, ""Egypt"": 2, ""France"": 2, ""Germany"": 2, ""Greece"": 2, ""Italy"": 1, ""Japan"": 1, ""Kenya"": 1, ""Mexico"": 2, ""Norway"": 2, ""Peru"": 3, ""Sweden"": 2}"
