id,n_sentences,input,answer
0,8,"The delegation travelled from Sweden to Mexico before the summit. Exports from Argentina rose sharply while Sweden reported a decline. Researchers in Germany collaborated with a team based in Mexico. Norway and Peru signed a joint statement on trade. After leaving Canada, the group spent three weeks in Spain. After leaving Germany, the group spent three weeks in Argentina. After leaving Chile, the group spent three weeks in Peru. Researchers in Chile collaborated with a team based in Sweden.","{""Argentina"": 2, ""Canada"": 1, ""Chile"": 2, ""Germany"": 2, ""Mexico"": 2, ""Norway"": 1, ""Peru"": 2, ""Spain"": 1, ""Sweden"": 3}"
1,8,"The documentary contrasted life in Brazil with that in China. After leaving Mexico, the group spent three weeks in China. Chile and France signed a joint statement on trade. After leaving India, the group spent three weeks in Mexico. Researchers in Norway collaborated with a team based in Chile. Germany and Poland signed a joint statement on trade. Researchers in India collaborated with a team based in Egypt. Exports from Japan rose sharply while Sweden reported a decline.","{""Brazil"": 1, ""Chile"": 2, ""China"": 2, ""Egypt"": 1, ""France"": 1, ""Germany"": 1, ""India"": 2, ""Japan"": 1, ""Mexico"": 2, ""Norway"": 1, ""Poland"": 1, ""Sweden"": 1}"
2,8,"Exports from Germany rose sharply while Chile reported a decline. Researchers in Poland collaborated with a team based in Germany. The documentary contrasted life in Kenya with that in Germany. The delegation travelled from Canada to Chile before the summit. After leaving Egypt, the group spent three weeks in Germany. Exports from China rose sharply while Greece reported a decline. China and Peru signed a joint statement on trade. Researchers in Spain collaborated with a team based in Poland.","{""Canada"": 1, ""Chile"": 2, ""China"": 2, ""Egypt"": 1, ""Germany"": 4, ""Greece"": 1, ""Kenya"": 1, ""Peru"": 1, ""Poland"": 2, ""Spain"": 1}"
3,8,Germany and Japan signed a joint statement on trade. Exports from India rose sharply while Germany reported a decline. The delegation travelled from Egypt to Sweden before the summit. Exports from Brazil rose sharply while Argentina reported a decline. Argentina and Spain signed a joint statement on trade. The delegation travelled from Japan to Argentina before the summit. Exports from India rose sharply while Kenya reported a decline. The documentary contrasted life in Egypt with that in Norway.,"{""Argentina"": 3, ""Brazil"": 1, ""Egypt"": 2, ""Germany"": 2, ""India"": 2, ""Japan"": 2, ""Kenya"": 1, ""Norway"": 1, ""Spain"": 1, ""Sweden"": 1}"
4,8,"After leaving Greece, the group spent three weeks in Kenya. The delegation travelled from Germany to Greece before the summit. Researchers in Germany collaborated with a team based in Argentina. Exports from Norway rose sharply while Sweden reported a decline. Spain and Chile signed a joint statement on trade. The documentary contrasted life in Greece with that in Spain. Researchers in Norway collaborated with a team based in Egypt. Exports from Chile rose sharply while Norway reported a decline.","{""Argentina"": 1, ""Chile"": 2, ""Egypt"": 1, ""Germany"": 2, ""Greece"": 3, ""Kenya"": 1, ""Norway"": 3, ""Spain"": 2, ""Sweden"": 1}"
5,8,"The delegation travelled from Egypt to Norway before the summit. The documentary contrasted life in France with that in Kenya. After leaving Chile, the group spent three weeks in Canada. France and Canada signed a joint statement on trade. After leaving France, the group spent three weeks in Germany. Researchers in Japan collaborated with a team based in Argentina. The documentary contrasted life in Chile with that in Japan. Exports from China rose sharply while France reported a decline.","{""Argentina"": 1, ""Canada"": 2, ""Chile"": 2, ""China"": 1, ""Egypt"": 1, ""France"": 4, ""Germany"": 1, ""Japan"": 2, ""Kenya"": 1, ""Norway"": 1}"
6,8,"Researchers in Mexico collaborated with a team based in Norway. Exports from Argentina rose sharply while Norway reported a decline. Sweden and India signed a joint statement on trade. After leaving Australia, the group spent three weeks in Italy. Argentina and Mexico signed a joint statement on trade. Researchers in Poland collaborated with a team based in India. Researchers in Brazil collaborated with a team based in Germany. After leaving Poland, the group spent three weeks in China.","{""Argentina"": 2, ""Australia"": 1, ""Brazil"": 1, ""China"": 1, ""Germany"": 1, ""India"": 2, ""Italy"": 1, ""Mexico"": 2, ""Norway"": 2, ""Poland"": 2, ""Sweden"": 1}"
7,8,"The documentary contrasted life in Chile with that in Greece. The delegation travelled from Brazil to Greece before the summit. Argentina and France signed a joint statement on trade. After leaving Brazil, the group spent three weeks in Poland. After leaving Norway, the group spent three weeks in France. The delegation travelled from Greece to Norway before the summit. After leaving Brazil, the group spent three weeks in Greece. Researchers in France collaborated with a team based in Italy.","{""Argentina"": 1, ""Brazil"": 3, ""Chile"": 1, ""France"": 3, ""Greece"": 4, ""Italy"": 1, ""Norway"": 2, ""Poland"": 1}"
8,8,"The delegation travelled from Australia to India before the summit. The delegation travelled from Spain to Peru before the summit. The delegation travelled from Poland to Canada before the summit. After leaving Spain, the group spent three weeks in Argentina. After leaving Argentina, the group spent three weeks in Peru. The delegation travelled from Brazil to Peru before the summit. Exports from Spain rose sharply while Australia reported a decline. The documentary contrasted life in Brazil with that in Spain.","{""Argentina"": 2, ""Australia"": 2, ""Brazil"": 2, ""Canada"": 1, ""India"": 1, ""Peru"": 3, ""Poland"": 1, ""Spain"": 4}"
9,8,"Norway and Egypt signed a joint statement on trade. France and Argentina signed a joint statement on trade. The documentary contrasted life in Mexico with that in Spain. The documentary contrasted life in France with that in Peru. After leaving Kenya, the group spent three weeks in Argentina. Researchers in Brazil collaborated with a team based in Peru. After leaving India, the group spent three weeks in Mexico. Researchers in Kenya collaborated with a team based in Argentina.","{""Argentina"": 3, ""Brazil"": 1, ""Egypt"": 1, ""France"": 2, ""India"": 1, ""Kenya"": 2, ""Mexico"": 2, ""Norway"": 1, ""Peru"": 2, ""Spain"": 1}"
